item_code,item_name,decision,correct_product_name,correct_product_name_ar
89801,LINAGLIFLOZIN 25/5MG 30TAB,auto_matched,LINAGLIFLOZIN 25 / 5 MG 30 TAB,ليناجليفلوزين 25 / 5 مجم 30 اقراص
89042,LIPICONTROL 10/10MG 20 F.C. TABS,auto_matched,LIPICONTROL 10 / 10 MG 20 TAB,ليبيكونترول 10 / 10 مجم 20 اقراص
75221,LIPITOR 40 MG 7 TABS,auto_matched,LIPITOR 40 MG 7 TABS.,ليبيتور 40 مجم 7 اقراص
82443,LIPOFERRIC FOLIC 30 SACH,auto_matched,LIPOFERIC FOLIC 30 SACHETES,ليبوفريك فوليك 30 كيس
78912,LIT UP CLEANSER 200ML,auto_matched,LIT UP FACIAL FOAMING CLEANSER 200 ML,لايت اب منظف للوجه 200 مل
90436,LITHIOMOD 400MG 30 TAB,auto_matched,LITHIOMOD 400 MG 30 TAB,ليثومود 400 مجم 30 اقراص
73647,LIVABION 6 AMP,auto_matched,LIVABION 6 I.M. AMP. 2 ML,ليفابيون 6 امبول 2 مل
92638,LIXORA SK LOTION 150 ML,auto_matched,LIXORA SK ANTI DANDRUFF ANTI HAIR LOSS LOTION 150 ML,ليكسورا اس كي لوسيون ضد القشره وضد تساقط الشعر 150 مل
90623,LONGAGEN CAP 30 CAP,auto_matched,LONGAGEN CAP 30 CAP,لونجاجين 30 كبسول
74077,LORNOXICAM 8 MG AMP,approved_match,LORNOXICAM 8 MG / 2 ML VIAL FOR I.M. / I.V. INJ.,لورنوكسيكام 8 مجم / 2 مل امبول
90050,LOTERANOL 0.5% EYE DROP,auto_matched,LOTERANOL 0.5 % EYE GEL 5 GM,لوتيرانول 5 % جل
91298,LUNGOCORT 0.5 MG/2ML 20 SUSP. AMP. FOR INH,auto_matched,LUNGOCORT 0.5 MG / 2 ML 20 AMP,لنجوكورت 0.5 مجم / 2 مل 20 امبول
LUS20,LUSTRAL 50 MG 20 TAB,auto_matched,LUSTRAL 50 MG 20 F.C. TAB.,لوسترال 20 اقراص
MA,MAALOX LEMON 20 SACHET,approved_match,MAALOX LEMON 20 ORAL SACHET SUSP.,مالوكس ليمون 20 اكياس
79694,MAALOX PLUS FAST 180ML SYRUP,approved_match,MAALOX PLUS ORAL SUSP. 180 ML,مالوكس بلس شراب 180 مل
18941,MACROFURAN 100MG CAP,auto_matched,MACROFURAN 100 MG 30 CAPS.,ماكروفيوران 100 جم 30 كبسول
89290,MACSEN CREAM 75 GM,auto_matched,MACSEN CREAM 75 GM,ماكسن كريم 75 جرام
91480,MAG WHITES 500 MG 60 TABS,auto_matched,MAG WHITES 60 TAB,ماج وايتس 60 اقراص
46895,MAGNESIUM PLUS TAB,auto_matched,MAGNESIUM PLUS 30 TAB.,ماغنيسيوم بلس 30 اقراص
89860,MANIPULEPSY 400 MG 30 CAPS,auto_matched,MANIPULEPSY 400 MG 30 CAPS,مانيبيوليبسي 400 مجم 30 اقراص
83907,MAREVAN 5MG 102TABLETS,auto_matched,MAREVAN 5 MG 102 TAB,ماريفان 5 جم 102 اقراص
79586,MATUJAC 60 MG 3 F.C. TABS,auto_matched,MATUJAC 60 MG 3 F.C. TABS.,ماتيوجاك 60 مجم 3 اقراص
73318,MAVILOR 5MG 30 TAB.,auto_matched,MAVILOR 5 MG 30 TAB.,مافيلور 5 مجم 30 اقراص
63258,MAXDINIR 300MG 10CAP,auto_matched,MAXDINIR 300 MG 10 CAPS.,ماكسيدينير 300 مجم 10 كبسول
86819,MDICORVAL 100MCG/6MCG 120 METERED ACTUATION,auto_matched,MDICORVAL 100 MCG / 6 MCG 120 METERED ACTUATIONS,مديكورفال بخاخ 100 مكجم / 6 مكجم 120 جرعه
